4603918, 2944694, 2392190, 1618171, 1697711, 1375702, 1443695, 1259813, 1252115, 1172575, 1169154, 1009219, 1580539, 873658, 985271, 806520, 903592, 989975, 780006, 620070, 782144, 593129, 617077, 565334, 601255, 589281, 511451, 557208, 610235, 476385, 460135, 519149, 439181, 524708, 505037, 406680, 403687, 376747, 434905, 445596, 378457, 363490, 361351, 383588, 326286, 411385, 587570, 658985, 492636, 339970, 
4475200, 1925640, 1893995, 1731922, 1780672, 1713533, 2353703, 2293834, 2034260, 1215766, 1214483, 1113134, 1062673, 915566, 926257, 997245, 1333794, 1602348, 1397083, 704743, 718426, 620498, 632900, 1005369, 754348, 611946, 702177, 544807, 782999, 471254, 525136, 498622, 462701, 611518, 453721, 492208, 412668, 395990, 458853, 455004, 501616, 361352, 422503, 333128, 415234, 594841, 580728, 662407, 444740, 321582, 
4482898, 2604725, 1757153, 1622019, 1456525, 1464222, 1323958, 1282905, 1216194, 1217904, 1092180, 1050699, 1078496, 932244, 938658, 874086, 1187970, 891619, 708592, 864678, 720137, 643163, 654709, 572175, 620071, 622636, 653854, 777868, 763328, 1026751, 723131, 450728, 448162, 480661, 425925, 529840, 481089, 419937, 425497, 438326, 431912, 425070, 354937, 434049, 409674, 435332, 352798, 534543, 366056, 381450, 
4159605, 2020147, 1893995, 1958569, 1466361, 1288036, 1382544, 1221753, 1287609, 1909390, 1060962, 1014350, 973724, 935238, 831322, 867244, 1042574, 839447, 737670, 745795, 667110, 606814, 629051, 531123, 630334, 559346, 627340, 518294, 726124, 871520, 664117, 447734, 445168, 536682, 461846, 479379, 436188, 371615, 365628, 395990, 345529, 372470, 406253, 332700, 352371, 393424, 304048, 372898, 396418, 339114, 
4064670, 1879456, 1931627, 1746889, 1679323, 1601066, 1511689, 1394090, 1432150, 1329945, 1290602, 1199944, 1215339, 1114417, 1220471, 1073364, 1089186, 1043857, 1083200, 881355, 954481, 893757, 828329, 1197378, 932672, 792408, 721847, 652143, 629906, 631190, 722703, 796684, 625630, 833889, 846717, 800533, 487932, 452437, 431056, 425497, 468688, 484938, 558064, 494347, 519149, 688492, 381023, 400267, 483228, 540531, 
4074933, 2018438, 1726790, 1633566, 1607052, 1423169, 1595078, 1333366, 1187542, 1212773, 1086192, 1093891, 1045140, 927967, 912145, 903593, 974152, 938659, 728262, 642308, 691913, 636321, 631617, 582438, 635893, 691913, 788559, 708163, 785138, 465694, 586287, 496911, 495201, 537537, 468688, 431484, 396418, 388292, 426353, 424214, 502043, 373325, 357503, 614511, 536682, 437043, 572603, 684216, 534972, 582867, 
4052269, 1781955, 1838403, 1802482, 1560440, 1450966, 1424025, 1551460, 1222608, 1222608, 1094318, 1072937, 1055403, 865533, 996389, 838592, 881355, 1165733, 857835, 700894, 735104, 644019, 625202, 607669, 630334, 644873, 766322, 697900, 553787, 557208, 471253, 460563, 499478, 464411, 545662, 516583, 558491, 431911, 461418, 407536, 634610, 706880, 740236, 616650, 573886, 634611, 518294, 534972, 440036, 341680, 
4199376, 2068043, 1820014, 1713961, 1444978, 1494585, 1645112, 1240997, 1164450, 1195668, 970304, 921981, 1108430, 906158, 904020, 945929, 1211490, 903593, 756914, 643163, 778295, 637176, 636749, 647439, 601254, 625202, 633327, 629907, 592274, 660696, 553787, 529840, 439609, 558919, 635893, 551221, 470826, 424214, 401549, 422931, 444313, 364773, 348095, 428918, 434904, 584149, 321153, 346812, 344674, 481517, 
4746321, 2259196, 2244228, 1615178, 1497150, 1377840, 1413334, 1316260, 1252543, 1080206, 1143924, 1078068, 3659700, 1367577, 1209352, 894185, 945501, 886488, 1341919, 741092, 692768, 597406, 611090, 588425, 658130, 593985, 1161885, 741946, 662407, 519149, 544379, 508886, 443030, 456714, 490498, 441747, 431484, 415661, 444313, 500760, 379312, 355792, 359213, 380168, 316450, 400693, 351516, 333127, 389148, 421648, 
6583868, 3010550, 2987031, 2547849, 2450776, 2266893, 2247649, 2101398, 1939325, 1269649, 1027607, 978001, 993396, 869382, 871947, 960041, 1546755, 1439847, 920270, 708163, 664545, 645729, 899317, 712440, 692769, 605959, 888625, 1050699, 818066, 602965, 509740, 932244, 792835, 984843, 826618, 865960, 702176, 757769, 707308, 760335, 735105, 608953, 750499, 610235, 549939, 564478, 544807, 667538, 624774, 609380, 
